website;m;pos;adstart;adfirst;admid;adthird;adcomplete;adclick;adpaused;adresume
492;3;1;23;21;16;14;12;125;117;0
492;8;0;1;0;0;0;0;1;0;0
492;12;0;2;2;2;2;2;0;0;0
492;10;0;16;14;10;8;7;9;1;0
492;8;4;10;9;8;7;7;3;1;0
492;2;4;6;5;4;2;2;2;0;0
492;9;0;1;0;0;0;0;1;0;0
492;12;2;7;7;6;6;5;1;0;0
492;3;0;47;45;45;45;41;4;4;0
492;8;4;4;2;2;2;2;3;2;0
492;11;0;25;24;21;19;17;4;2;0
492;10;4;11;9;9;8;7;5;2;0
492;10;3;1;1;1;1;0;1;0;0
492;10;3;2;2;2;2;2;0;0;0
492;6;0;1;1;0;0;0;1;0;0
492;5;0;14;13;12;11;9;2;0;0
492;11;0;1;1;1;1;0;1;0;0
492;11;0;9;8;7;7;7;1;0;0
492;11;2;1;1;0;0;0;0;0;0
492;12;0;24;22;21;20;20;8;6;0
492;8;0;4;2;2;2;2;0;0;0
492;8;4;2;2;2;2;2;0;0;0
492;11;0;23;22;15;13;11;15;6;0
492;9;3;2;1;0;0;0;1;1;0
492;10;0;3;2;2;2;2;2;1;0
492;11;4;5;2;1;1;1;3;0;0
492;12;0;2;2;2;2;1;0;0;0
492;5;4;3;1;1;1;1;2;2;0
492;6;1;4;4;3;2;1;3;0;0
492;2;0;7;7;7;7;7;0;0;0
492;8;2;1;1;1;1;1;0;0;0
492;1;0;3;2;1;1;1;1;1;0
492;7;0;1;1;1;1;1;0;0;0
492;8;0;1;1;0;0;0;0;0;0
492;5;0;4;3;3;3;3;1;0;0
492;9;0;3;3;1;1;1;1;0;0
492;1;0;16;16;15;14;13;3;4;0
492;1;1;1;1;1;1;1;0;0;0
492;11;0;1;1;1;1;1;0;0;0
492;6;0;3;3;3;3;2;2;1;0
492;3;3;1;1;0;0;0;1;0;0
492;8;0;3;2;2;1;1;2;0;0
492;10;0;1;0;0;0;0;1;0;0
492;4;0;1;1;1;1;1;0;0;0
492;9;3;9;5;3;3;3;2;0;0
492;2;0;3;3;3;3;2;0;0;0
492;1;1;16;15;14;12;11;7;3;0
492;8;0;2;2;2;2;2;0;0;0
492;8;3;1;0;0;0;0;1;0;0
492;9;1;2;2;2;2;2;0;0;0
492;10;2;2;2;1;1;1;2;1;0
492;12;0;1;1;1;1;1;1;1;0
492;8;0;1;0;0;0;0;0;0;0
492;5;0;5;5;5;4;4;3;2;0
492;11;0;2;1;1;0;0;0;0;0
492;5;0;2;2;2;2;1;1;1;0
492;7;0;18;17;15;16;16;2;2;0
492;2;0;2;2;1;1;1;2;1;0
492;1;4;3;2;2;2;2;0;0;0
492;12;0;1;1;1;1;1;0;0;0
492;11;0;1;0;0;0;0;0;0;0
492;10;0;2;2;1;1;1;0;0;0
492;6;0;4;4;4;3;2;2;1;0
492;3;0;1;1;1;1;1;0;0;0
492;3;0;3;3;3;3;3;0;0;0
492;4;0;2;2;2;1;1;1;0;0
492;8;0;1;0;0;0;0;0;0;0
492;10;1;2;2;2;2;2;0;0;0
492;9;0;4;3;3;3;3;2;1;0
492;5;1;1;1;1;1;1;0;0;0
492;12;4;4;3;2;1;1;4;1;0
492;10;0;3;3;3;3;2;0;0;0
492;8;0;18;11;10;8;7;13;3;0
492;9;0;10;7;7;6;6;4;1;0
492;6;4;1;1;1;1;1;0;0;0
492;4;0;3;3;3;3;3;0;0;0
492;6;0;4;4;4;3;1;5;2;0
492;10;0;2;0;0;0;0;2;0;0
492;1;0;8;7;7;6;6;1;1;0
492;2;0;2;0;0;0;0;0;0;0
492;1;0;9;8;7;7;5;2;0;0
492;1;0;1;0;0;0;0;1;0;0
492;11;0;4;4;4;3;3;2;1;0
492;10;0;5;5;4;3;3;0;0;0
492;7;0;2;2;2;2;2;0;0;0
492;2;2;4;2;2;1;1;3;0;0
492;7;0;1;0;0;0;0;1;0;0
492;7;0;1;1;1;1;1;0;0;0
492;3;0;1;1;1;0;0;1;0;0
492;7;0;1;1;1;0;0;0;0;0
492;6;4;6;5;3;2;2;3;0;0
492;9;4;2;2;2;2;1;0;0;0
492;9;0;1;1;1;1;1;0;0;0
492;1;0;1;1;1;0;0;0;0;0
492;6;0;2;2;1;1;0;3;1;0
492;9;0;1;1;1;1;1;0;0;0
492;8;0;9;9;7;7;7;2;1;0
492;11;0;14;14;10;7;7;7;1;0
492;9;0;1;1;0;0;0;1;0;0
492;3;1;1;1;0;0;0;0;0;0
492;2;1;6;5;3;2;1;0;0;0
492;9;0;5;5;5;5;5;0;0;0
492;1;1;1;0;0;0;0;0;0;0
492;9;4;5;5;4;4;3;1;0;0
492;12;0;2;2;2;2;2;0;0;0
492;8;0;3;3;3;2;2;2;2;0
492;6;0;5;4;3;3;3;1;0;0
492;9;2;1;1;1;1;1;0;0;0
492;7;0;1;1;1;1;1;0;0;0
492;8;1;2;2;2;1;1;1;0;0
492;12;4;6;3;1;0;0;5;0;0
492;6;0;7;8;6;5;5;6;5;0
492;12;0;1;1;1;1;0;1;0;0
492;12;0;1;1;1;1;1;0;0;0
492;4;0;1;1;1;1;1;0;0;0
492;2;0;4;4;1;1;1;0;0;0
492;2;0;3;3;3;3;3;1;1;0
492;1;0;2;1;1;1;1;0;0;0
492;2;1;1;1;1;1;1;0;0;0
492;10;0;1;0;0;0;0;2;1;0
492;2;0;6;6;5;5;4;2;0;0
492;5;2;2;2;2;2;2;0;0;0
492;11;0;2;1;0;0;0;1;0;0
492;1;0;17;15;14;13;11;6;3;0
492;11;0;1;1;1;1;1;0;0;0
492;5;4;1;1;1;1;1;0;0;0
492;2;0;2;2;1;1;0;1;0;0
492;10;0;1;1;1;1;1;0;0;0
492;9;0;2;1;0;0;0;2;0;0
492;11;0;2;1;1;0;0;0;0;0
492;10;0;1;1;1;1;1;0;0;0
492;11;1;1;1;0;0;0;0;0;0
492;5;0;4;3;3;3;3;2;1;0
492;3;0;1;1;0;0;0;2;1;0
492;10;0;2;2;2;2;2;0;0;0
492;11;2;4;3;2;2;1;2;0;0
492;12;1;1;1;1;1;1;0;0;0
492;6;1;1;1;1;1;1;0;0;0
492;6;0;2;2;2;1;1;0;0;0
492;10;0;4;4;2;2;2;3;1;0
492;6;0;1;1;1;1;1;0;0;0
492;12;0;1;1;1;1;1;0;0;0
492;11;4;1;0;0;0;0;1;0;0
492;7;0;3;3;2;2;2;0;0;0
492;10;3;1;1;1;1;0;1;1;0
492;10;0;3;3;3;3;3;0;0;0
492;2;0;2;2;2;2;2;0;0;0
492;12;4;2;2;2;2;2;0;0;0
492;8;0;1;1;0;0;0;1;0;0
492;11;0;2;0;0;0;0;1;0;0
492;5;0;6;5;5;4;3;2;2;0
492;12;0;1;1;1;1;1;0;0;0
492;6;0;1;0;0;0;0;1;0;0
492;1;0;1;1;1;1;1;0;0;0
492;12;0;1;1;1;1;1;0;0;0
492;2;3;1;1;1;1;1;0;0;0
492;5;3;1;1;1;1;1;0;0;0
492;12;0;2;2;2;2;2;0;0;0
492;12;0;2;2;2;2;2;0;0;0
